Summary,Custom field (Additional Information),Custom field (Hospital Name),IJ Review,Issue Type,Reporter,Custom field (Can your hospital meet the following minimum emergency response times for each patient),Custom field (CCN),Custom field (Can your hospital provide acute care services at home),Custom field (Does your hospital meet the minimum required frequency of personnel visits),Custom field (Has your hospital provided acute hospital care at home services to at least 25 patients since the program's inception),"Custom field (Will you agree to establish a local safety committee review (similar to a Mortality and Morbidity team, but dedicated to this program) which will review the metrics listed above prior to weekly submission to CMS? )",Custom field (Will you agree to limit Acute Hospital Care at Home to patients who can be safely treated in their homes using a published set of selection criteria or one that has been developed internally based on your experience),"Custom field (Will you agree to track the following 3 metrics and report them to the Chief Medical Officer, Chief Nursing Officer, or Chief Executive Officer of your hospital? CMS will contact this executive directly with any concerns about reporting or quality`)","Custom field (Will you agree to use InterQual, Milliman, or another accepted patient leveling process to ensure that only patients requiring an acute level of care are treated by this hospital?)",Custom field (City),Custom field (Hospital Address 1),Custom field (Hospital Address 2),Custom field (Hospital Phone),Custom field (ZIP Code),Custom field (State),Created,Status
CCN 340166: Acute Hospital Care at Home Waiver Request,,Atrium Health University,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340166,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Charlotte,8800 N. Tryon St.,,704-863-6000,28262,NC,Apr/14/2021 4:43 PM,Approved
CCN 340130: Acute Hospital Care at Home Waiver Request,,Atrium Health Union,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Monroe,600 Hospital Dr. ,,980-993-3100,28112,NC,Apr/14/2021 4:40 PM,Approved
Testing this morning,,,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,K1401,,,,,,,,,,,,,,,,Apr/14/2021 8:28 AM,Submitted
CCN 330394: Acute Hospital Care at Home Waiver Request,"Our current Hospital Care at Home program grew from a need to serve COVID positive patients due to a surge in volume.  , in December 2020 the volume of patients and the inability to discharge COVID positive patients to nursing homes UHS had a COVID inpatient volume reaching 100 patients.  The clinical team identified COVID positive patients that could be cared for in their home with a daily virtual visit from a provider and a phone call from a nurse.  To date the team has treated 62 patients that where admitted and then discharged and 22 patients enrolled from the Emergency Department these have all been COVID positive patients.  The first non COVID patients are being enrolled starting on March 18, 2021.  We are now expanding our program to include the guidelines outlined by CMS that will include the two daily visits by a paramedic to obtain vital signs including include heart rate, blood pressure, respiratory rate, oxygen saturation and temperature. Vital signs will be documented in the electronic medical record. Patients will be enrolled to the Hospital Care at Home program directly from the Emergency Department or to complete a hospital stay.  The patient being discharged from the Emergency Department will receive an in person visit by a hospitalist, that will assess the patient and complete a history and physical that will be utilized in the Hospital Care at Home Program.  For patients that are being admitted after a hospital stay UHS will use the admitting history and physical and the attending physician will do a hand off to the Hospital Care at Home Provider.  Once the patient is in the Hospital Care at Home Program the patient will be seen via virtual visit or in person visit, if warranted.  The Hospital Care at Home patients will be tracked in the electronic medical record so all members of the interdisciplinary team will know which patients are enrolled in the program.  In the UHS Hospital Care at Home Program there will be dedicated paramedic, RN and Physician resources assigned to each patient.  The paramedics will go to the patient’s home twice a day to obtain vital signs, assist in obtaining any needed information or assessments and provide patient/family education and support as needed.  The RN assigned to the Hospital Care at Home patient will provide a virtual visit with the patient daily.  The assigned physician will also perform a daily virtual visit.  UHS has capabilities to have a Physical Therapy and Occupational Therapy either virtually or in the home and capability for Speech Language-Pathologists virtually.  During calendar year 2020, the United Health Services system provided care to 104,495 patients utilizing a virtual modality.  UHS has a HiTrust Certified platform to connect the clinical team with our patients.  Virtual health became a necessity during the COVID pandemic to serve the patients in our community.  The feedback from patients enrolled in Hospital Care at Home has been positive.  UHS has dedicated resources specifically to the Hospital Care at Home program. UHS is capable to care for patients safely in their home with the experience learned from treating COVID positive patient in their home and the available resources with Population Health, virtual visits and Emergency Services in Broome County.",United Health Services Hospitals,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,330394,Yes,No,Yes,Yes,Yes,Yes,Yes,Binghamton,10-42 Mitchell Ave,,607-763-6000,13903,NY,Mar/19/2021 1:10 PM,Approved
CCN 150056: Acute Hospital Care at Home Waiver Request,"Additional feedback item #3 - Our current acute hospital care services at home include personnel frequencies that meet the requirements for once daily MD/APP visit and once daily RN visit. Prior to utilizing the waiver, would expand program criteria and resources to include at least two in-person daily visits by either an RN or Mobile Integrated Health paramedics, depending on the established nursing plan.",Indiana University Health Methodist Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,150056,Yes,No,Yes,Yes,Yes,Yes,Yes,Indianapolis,1701 N Senate Blvd,,,46202,IN,Mar/15/2021 1:23 PM,Approved
CCN 100117: Acute Hospital Care at Home Waiver Request,,Baptist Medical Center-Beaches,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,100117,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Jacksonville Beach,1350 13th Avenue South,,9046272900,32250,FL,Feb/22/2021 1:15 PM,No Action Needed
CCN 100088: Acute Hospital Care at Home Waiver Request,,Baptist Medical Center South,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,100088,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Jacksonville,14550 Old St. Augustine Road,,9042716000,32258,FL,Feb/22/2021 1:11 PM,No Action Needed
CCN 100088: Acute Hospital Care at Home Waiver Request,,Baptist Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,100088,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Jacksonville,800 Prudential Drive,,9042022000,32207,FL,Feb/22/2021 12:55 PM,No Action Needed
CCN 380103: Acute Hospital Care at Home Waiver Request,,Kaiser Foundation Hospital - Westside,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,380103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hillsboro,2875 NE Stucki Ave.,,971-310-1000,97124,OR,Jan/27/2021 11:24 AM,Approved
CCN 380091: Acute Hospital Care at Home Waiver Request,,Kaiser Sunnyside Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,380091,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Clackamas ,10180 SE Sunnyside Rd.,,503-652-2880,97015,OR,Jan/27/2021 11:19 AM,Approved
CCN 150126: Acute Hospital Care at Home Waiver Request,,Franciscan Health Crown Point,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":true,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,150126,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Crown Point,1201 S Main St,,,46321,IN,Jan/27/2021 10:52 AM,Duplicate
CCN 240106: Acute Hospital Care at Home Waiver Request,We currently see our patients at least once a day and are evaluating a new model of care to meet the twice per day requirement above.,Regions Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,240106,Yes,No,Yes,Yes,Yes,Yes,Yes,Saint Paul,640 Jackson Street,MS11109E,6512543456,55101,MN,Jan/18/2021 11:12 AM,Approved
CCN 050025: Acute Hospital Care at Home Waiver Request,,UC San Diego Health,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50025,Yes,Yes,Yes,Yes,Yes,Yes,Yes,San Diego,9300 Campus Point Drive,,,92037,CA,Jan/15/2021 1:46 AM,Approved
CCN 240057: Acute Hospital Care at Home Waiver Request,John Smyrski: Vice President of Medical Affairs (CMO) of Abbott Northwestern Hospital; 612-863-0342; John.Smyrski@allina.com,Abbott Northwestern Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,240057,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Minneapolis,800 E 28th St,,612-863-4000,55407,MN,Jan/11/2021 11:29 AM,Approved
CCN 240115: Acute Hospital Care at Home Waiver Request,Mercy Hospital has two campuses (Coon Rapids and Fridley) this is for the Fridley location. I will send in a waiver for the Coon Rapids as well to ensure we cover both hospitals. Ryan Else: Inpatient CMO; 763-236-8280; Ryan.Else@allina.com,Mercy Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,240115,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fridley,550 Osborne Rd,,763-236-5000,55432,MN,Jan/11/2021 11:23 AM,Approved
CCN 240115: Acute Hospital Care at Home Waiver Request,Mercy Hospital has two campuses (Coon Rapids and Fridley) this is for the Coon Rapids location. I will send in a waiver for the Fridley as well to ensure we cover both hospitals. Ryan Else: Inpatient CMO; 763-236-8280; Ryan.Else@allina.com,Mercy Hospital - Coon Rapids Campus,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,240115,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Coon Rapids,4050 Coon Rapids Blvd,,763-236-6000,55433,MN,Jan/11/2021 11:16 AM,Duplicate
CCN 240104: Acute Hospital Care at Home Waiver Request,Monte Johnson: Vice President of Medical Affairs (Chief Medical Officer); 952-428-2403; Monte.Johnson@allina.com,St. Francis Regional Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,240104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Shakopee,1455 St. Francis Ave,,,55379,MN,Jan/10/2021 9:27 PM,Approved
CCN 240058: Acute Hospital Care at Home Waiver Request,United Hospital Vice President of Medical Affairs (or CMO): Alison Peterson; 651-241-8801; Alison.Peterson@allina.com,United Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,240038,Yes,Yes,Yes,Yes,Yes,Yes,Yes,St. Paul,333 Smith Ave N,,651-241-8000,55102,MN,Jan/10/2021 9:18 PM,Approved
CCN 390048: Acute Hospital Care at Home Waiver Request,,Geisinger Lewistown Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390048,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lewistown,400 Highland Avenue,,(717) 248-5411,17044,PA,Dec/29/2020 7:46 PM,Approved
CCN 390003: Acute Hospital Care at Home Waiver Request,,Geisinger Bloomsburg Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390003,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bloomsburg,549 Fair Street,,(570) 387-2100,17815,PA,Dec/29/2020 7:43 PM,No Action Needed
CCN 390001: Acute Hospital Care at Home Waiver Request,,Geisinger-Community Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390001,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Scranton,1800 Mulberry Street,,(570) 703-8000,18510,PA,Dec/29/2020 7:40 PM,Approved
CCN 390270: Acute Hospital Care at Home Waiver Request,,Geisinger Wyoming Valley Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390270,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wilkes-Barre,1000 East Mountain Blvd.,,(570) 808-7300,18711,PA,Dec/29/2020 7:36 PM,Approved
CCN 390006: Acute Hospital Care at Home Waiver Request,,Geisinger Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,390006,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Danville,100 North Academy Avenue,,(570) 271-6211,17822,PA,Dec/29/2020 7:31 PM,Approved
CCN 050121: Acute Hospital Care at Home Waiver Request,"If further details are needed for CMS to assess the appropriateness of AHH@H services for Medicare beneficiaries, we respectfully request an opportunity to supplement this application with additional information.",Hanford Community Hospital dba Adventist Health Hanford,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50121,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hanford,115 Mall Drive,,(559) 582-9000,93230,CA,Dec/23/2020 1:59 AM,Approved
CCN 440082: Acute Hospital Care at Home Waiver Request,"Ascension Saint Thomas West and Midtown (CCN#: 440082), part of Ascension Saint Thomas Health System currently offers a hospital at home clinical program through a partnership with Contessa Health. Ascension Saint Thomas West and Midtown has seen 30 patients to-date in the hospital at home program. The program has in-home nurses, admitting and treating providers, virtual nurses, social workers and other professionals, which are all part of a single team that administers the program. This hospital at home clinical program has already established comprehensive protocols, procedures, and best practices for treating inpatient-eligible, medical patients in their homes. An already assembled and trained multidisciplinary care team and integrated ancillary provider network enable hospital-equivalent services to be provided to patients in a highly-coordinated, efficient and safe manner.",Saint Thomas West Hospital,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440082,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nashville,4220 Harding Pike,,615-222-2111,37205-2005,TN,Dec/21/2020 6:21 PM,Approved
CCN 340113: Acute Hospital Care at Home Waiver Request,,Carolinas Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340113,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Charlotte,1000 Blythe Blvd,,704-355-1000,28203,NC,Dec/18/2020 2:14 PM,Approved
CCN 340001: Acute Hospital Care at Home Waiver Request,This is one of 3 facility applications being submitted on behalf of Atrium Health.  We are also required to apply for a waiver to NC Licensure and CON to add these inpatient beds and they have requested that we obtain CMS Waiver approval before reviewing our application.,Atrium Health Cabarrus,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340001,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Concord,920 Church St North,,,28025,NC,Dec/18/2020 10:05 AM,Approved
CCN 340098: Acute Hospital Care at Home Waiver Request,This is one of 3 facility applications being submitted on behalf of Atrium Health.  We are also required to apply for a waiver to NC Licensure and CON to add these inpatient beds and they have requested that we obtain CMS Waiver approval before reviewing our application.,Atrium Health Pineville,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340098,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pineville,10628 Park Rd,,704-667-1000,28210,NC,Dec/18/2020 10:02 AM,Approved
CCN 340113: Acute Hospital Care at Home Waiver Request,This is one of 3 facility applications being submitted on behalf of Atrium Health.  We area also required to apply for a waiver to NC Licensure and CON to add these inpatient beds and they have requested that we obtain CMS Waiver approval before reviewing our application.,Carolinas Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,340113,Yes,Yes,Yes,Yes,Yes,Yes,No,Charlotte,1000 Blythe Blvd,,704-355-2000,28203,NC,Dec/18/2020 9:53 AM,Duplicate
CCN 140067: Acute Hospital Care at Home Waiver Request,"At least two in-person daily visits by either an RN or Mobile Integrated Health paramedics depending on the established nursing plan.**Plan to establish nursing care plan that includes at minimum 2 clinician in person visits clinicians include RN, Mobile Integrated Health Paramedic, NPP, LPN, PT, PTA, OT, COTA, SLP, RT",OSF Saint Francis Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,140067,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Peoria ,530 NE Glen Oak Ave ,,3096552000,61637,IL,Dec/17/2020 6:09 PM,Approved
CCN 140067: Acute Hospital Care at Home Waiver Request,"At least two in-person daily visits by either an RN or Mobile Integrated Health paramedics, depending on the established nursing plan* * Plan to establish nursing care plan that includes at minimum 2 clinician in person visits clinicians include RN, Mobile Integrated Health Paramedic, NPP, LPN,PT,PTA,OT, COTA,SLP, RT
",OSF Saint Francis Medical Center,,Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,140067,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Peoria ,530 NE Glen Oak Ave,,3096552000,61637,IL,Dec/11/2020 10:24 AM,Duplicate
CCN 050455: Acute Hospital Care at Home Waiver Request,"If further details are needed for CMS to understand the inclusion and exclusion criteria to assess the appropriateness of AHH@H services for Medicare beneficiaries, we respectfully request an opportunity to supplement this application with additional information.",San Joaquin Community Hospital dba Adventist Health Bakersfield,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50455,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bakersfield ,2615 Chester Ave,,,93301,CA,Dec/09/2020 6:52 PM,Approved
CCN 050301: Acute Hospital Care at Home Waiver Request,"If further details are needed for CMS to understand the inclusion and exclusion criteria to assess the appropriateness of AHH@H services for Medicare beneficiaries, we respectfully request an opportunity to supplement this application with additional information.",Adventist Health Ukiah Valley,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,50301,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ukiah,275 Hospital Dr,,,95482,CA,Dec/09/2020 6:38 PM,Approved
CCN 520070: Acute Hospital Care at Home Waiver Request,"Mayo Clinic Health System-Northwest Wisconsin Region, Inc. has an existing acute care at home program operated out of a separate entity.  This program operates at a system level and the hospital is part of the system. The program in Eau Claire has treated more than 25 patients discharged from the Eau Claire hospital. Eau Claire has an existing infrastructure to provide these services under their current program. If the longer form is applicable in this situation, please let us know.",Mayo Clinic Health System-Northwest Wisconsin Region,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,520070,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Eau Claire,1221 Whipple Street,,715-838-3311,54703-5270,WI,Dec/07/2020 9:48 AM,Approved
CCN 440039: Acute Hospital Care at Home Waiver Request,,Vanderbilt University Medical Center,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,440039,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nashville,1211 Medical Center Drive,,615 322-5000,37232,TN,Dec/04/2020 3:50 PM,Approved
CCN 100151: Acute Hospital Care at Home Waiver Request,,Mayo Clinic Florida,"{""id"":1,""name"":""IJ data for prior 2 years reviewed."",""mandatory"":true,""rank"":0,""statusId"":""none"",""dueDate"":null,""isHeader"":false,""checked"":false,""priorityId"":null,""assigneeIds"":[],""globalItemId"":16408,""version"":""5.0"",""linkedIssueKey"":null}",Acute Hospital Care at Home - Tier 1,ess_service_account,Yes,100151,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Jacksonville,4500 San Pablo Road S.,,904-953-2000,32224-1865,FL,Dec/04/2020 3:06 PM,Approved
