Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Feb/01/2023 12:00 AM,Feb/28/2023 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2023-02-01 - 2023-02-28,Mar/01/2023 8:38 AM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Feb/01/2023 12:00 AM,Feb/28/2023 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2023-02-01 - 2023-02-28,Mar/01/2023 8:37 AM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Feb/01/2023 12:00 AM,Feb/28/2023 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2023-02-01 - 2023-02-28,Mar/01/2023 8:37 AM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Feb/01/2023 12:00 AM,Feb/28/2023 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2023-02-01 - 2023-02-28,Mar/01/2023 8:36 AM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2023-01-01 - 2023-01-31,Feb/17/2023 2:52 PM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2022-12-01 - 2022-12-31,Feb/17/2023 2:52 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,0,0,0,0,0,0,0,0,0,No,50121,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2023-01-01 - 2023-01-31,Feb/17/2023 2:51 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,0,0,0,0,0,0,0,0,0,No,50121,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2022-12-01 - 2022-12-31,Feb/17/2023 2:50 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,0,0,0,0,0,0,0,0,0,No,50455,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2023-01-01 - 2023-01-31,Feb/17/2023 2:49 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,0,0,0,0,0,0,0,0,0,No,50455,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2022-12-01 - 2022-12-31,Feb/17/2023 2:48 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/08/2023 9:35 AM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/08/2023 9:35 AM,Measures Submitted
Mount Sinai Hospital,10,2,2,0,0,0,2,1,1,Yes,330024,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,High,ess_service_account,Mount Sinai Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/08/2023 9:34 AM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/08/2023 9:27 AM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/08/2023 9:26 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/08/2023 9:26 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/08/2023 9:25 AM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 7:59 PM,Measures Submitted
Mayo Clinic Florida,66,3,2,0,0,0,11,0,0,Yes,100151,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,High,ess_service_account,Mayo Clinic Florida: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 3:09 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,16,2,1,0,0,0,2,0,0,Yes,520070,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 2:42 PM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 2:24 PM,Measures Submitted
Greenville Memorial Hospital,9,0,0,0,0,0,0,0,0,Yes,420078,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 1:50 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 12:16 PM,Measures Submitted
Atrium Health Lincoln,2,0,0,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 11:54 AM,Measures Submitted
Atrium Health Cleveland,17,4,1,0,0,0,1,0,0,Yes,340021,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 11:52 AM,Measures Submitted
Atrium Health University,9,3,2,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 11:49 AM,Measures Submitted
Atrium Health Union,9,1,0,0,0,0,2,0,0,Yes,340130,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,High,ess_service_account,Atrium Health Union: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 11:47 AM,Measures Submitted
Atrium Health Pineville,7,2,0,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 11:44 AM,Measures Submitted
Carolinas Medical Center,11,5,1,0,0,0,3,1,1,Yes,340113,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,High,ess_service_account,Carolinas Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 11:42 AM,Measures Submitted
Atrium Health Cabarrus,15,8,2,0,0,0,0,1,0,Yes,340001,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2023-01-01 - 2023-01-31,Feb/07/2023 11:38 AM,Measures Submitted
Brigham and Women's Hospital,45,17,12,0,0,0,1,1,1,Yes,220110,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/06/2023 4:37 PM,Measures Submitted
Regions Hospital,0,0,0,0,0,0,0,0,0,No,240106,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/06/2023 1:50 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,5,2,1,0,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2023-01-01 - 2023-01-31,Feb/06/2023 10:12 AM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/04/2023 10:53 AM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/04/2023 10:53 AM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/04/2023 10:52 AM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/04/2023 10:51 AM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/03/2023 10:21 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,0,0,0,0,0,0,0,0,0,No,340173,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2023-01-01 - 2023-01-31,Feb/03/2023 12:30 PM,Measures Submitted
Massachusetts General Hospital,18,11,7,0,0,0,2,0,0,Yes,220071,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/03/2023 12:15 PM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2023-01-01 - 2023-01-31,Feb/02/2023 4:01 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/02/2023 4:00 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/02/2023 2:04 PM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/02/2023 2:04 PM,Measures Submitted
Mount Sinai Hospital,10,2,2,0,0,0,2,1,1,Yes,330024,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,High,ess_service_account,Mount Sinai Hospital: Measures for 2022-12-01 - 2022-12-31,Feb/02/2023 2:03 PM,Measures Submitted
OSF Saint Francis Medical Center,9,4,1,0,0,0,0,0,0,Yes,140067,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,OSF Saint Francis Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/02/2023 11:33 AM,Measures Submitted
Marshfield Medical Center-Marshfield,2,0,0,0,0,0,0,0,0,Yes,520037,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 5:40 PM,Measures Submitted
UnityPoint Health System,3,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 2:47 PM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 1:16 PM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 12:40 PM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 12:34 PM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 12:34 PM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 12:33 PM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 12:32 PM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Jan/01/2023 12:00 AM,Jan/31/2023 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2023-01-01 - 2023-01-31,Feb/01/2023 9:39 AM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2022-12-01 - 2022-12-31,Jan/11/2023 4:23 PM,Measures Submitted
Regions Hospital,3,0,0,0,0,0,0,0,0,Yes,240106,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/07/2023 1:44 PM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/07/2023 1:36 PM,Measures Submitted
Brigham and Women's Hospital,28,24,6,0,0,0,2,3,0,Yes,220110,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 6:47 PM,Measures Submitted
Mayo Clinic Florida,62,4,3,0,0,0,10,0,0,Yes,100151,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,High,ess_service_account,Mayo Clinic Florida: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 5:42 PM,Measures Submitted
Massachusetts General Hospital,22,8,3,1,0,0,2,2,1,Yes,220071,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Critical,ess_service_account,Massachusetts General Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 5:20 PM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,14,3,3,0,0,0,1,0,0,Yes,520070,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 4:20 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,6,0,0,0,0,0,1,0,0,Yes,340069,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,High,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 2:10 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,5,0,0,0,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:56 PM,Measures Submitted
Atrium Health Lincoln,4,0,0,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:22 PM,Measures Submitted
Atrium Health Cleveland,5,10,1,0,0,0,2,0,0,Yes,340021,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:20 PM,Measures Submitted
Atrium Health University,11,7,3,0,0,0,0,1,0,Yes,340166,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:18 PM,Measures Submitted
Atrium Health Union,8,4,0,0,0,0,1,0,0,Yes,340130,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:15 PM,Measures Submitted
Atrium Health Pineville,6,2,2,0,0,0,1,0,0,Yes,340098,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,High,ess_service_account,Atrium Health Pineville: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:12 PM,Measures Submitted
Carolinas Medical Center,13,16,4,0,0,0,2,1,1,Yes,340113,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Carolinas Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:10 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:09 PM,Measures Submitted
Atrium Health Cabarrus,16,9,3,0,0,0,2,1,1,Yes,340001,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2022-12-01 - 2022-12-31,Jan/06/2023 1:07 PM,Measures Submitted
Vanderbilt University Medical Center,10,2,2,0,0,0,2,0,0,Yes,440039,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,High,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/05/2023 12:47 PM,Measures Submitted
OSF Saint Francis Medical Center,13,1,1,0,0,0,2,1,1,Yes,140067,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,High,ess_service_account,OSF Saint Francis Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/05/2023 12:04 PM,Measures Submitted
UnityPoint Health System,3,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2022-12-01 - 2022-12-31,Jan/04/2023 2:48 PM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2022-12-01 - 2022-12-31,Jan/04/2023 12:02 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/04/2023 12:01 PM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/04/2023 9:05 AM,Measures Submitted
Marshfield Medical Center-Marshfield,6,0,0,0,0,0,0,0,0,Yes,520037,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2022-12-01 - 2022-12-31,Jan/03/2023 5:15 PM,Measures Submitted
Greenville Memorial Hospital,6,0,0,0,0,0,1,0,0,Yes,420078,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,High,ess_service_account,Greenville Memorial Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/03/2023 1:35 PM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/03/2023 12:53 PM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/03/2023 12:53 PM,Measures Submitted
Mount Sinai Hospital,14,3,3,0,0,0,2,0,0,Yes,330024,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/03/2023 12:52 PM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2022-12-01 - 2022-12-31,Jan/03/2023 8:39 AM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 4:06 PM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Dec/01/2022 12:00 AM,Dec/31/2022 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2022-12-01 - 2022-12-31,Jan/02/2023 4:06 PM,Measures Submitted
